Gene_ID,Brain,Spinal,Kidney,Heart,Sk_muscle,Main_EO,Sach_EO,Hunter_EO
C7653330.g1,838.7,85.1,0,18.7,83.4,6.1,6.1,4.4
C7653792.g1,7,36.8,151.2,75.4,221.5,61.9,156.2,191.4
C7653898.g1,112.1,10.5,28.5,193.4,34.1,21.2,52.7,57.1
C7654004.g1,636.6,522.2,771,1007.2,1871.8,982.4,1059.3,1326.2
C7655006.g1,313.3,54.9,46.4,93.9,158.8,55.5,239.4,119.7
C7655900.g1,11.4,26.7,29.1,198.4,188.1,27,67.1,152.7
C7656148.g1,594.3,347.6,437.7,207.3,424.2,364.1,371.4,548.3
C7656256.g1,115.6,156.2,254.8,92.3,136.7,136.4,108.7,153.7
C7657140.g1,16.3,0,0,0,0,0,0,0
C7658798.g1,722.6,369.5,0,0,20,0,4.6,10
C7659056.g1,6.8,15.9,0,227.6,103.2,248.2,167.4,172.7
C7659098.g1,210.6,842,265.5,129.4,255.4,560.8,418.9,288.7
C7659960.g1,18.8,31.9,86.8,55.2,64.9,30.2,56.2,26.1
C7662656.g1,79.7,93.2,20.3,202.4,460.5,158,138.6,223.2
C7662680.g1,545.2,22.9,0,0,19.1,7.1,3.5,1.9
C7663820.g1,136.1,51.1,19.6,43.1,65.1,66.7,57.4,75.2
C7664054.g1,514.6,1106.8,1064.7,909.3,801.3,2221.2,1784,1557.4
C7664204.g1,186,130.5,0,230.4,408.6,267.1,255.1,276.3
C7664486.g1,57.1,111.4,56.5,15.2,547.1,37.4,261.2,56.6
C7664618.g1,4.4,502.6,0,0,5.6,0,0,2.8
C7664652.g1,1610.8,2309.1,1142.6,1120,9920.2,960.3,933,837.9
C7665112.g1,0,0,0,0,0,0,0,2.2
C7665242.g1,1117.7,2382.4,4158.4,887.8,2718.1,1319.3,1358.2,1816.3
C7665296.g1,130.8,340.7,51,117.5,18.8,117.5,50.7,77.6
C7665394.g1,0,5.6,0,0,16177.1,0,39.3,188.7
C7666240.g1,0,8.5,0,0,3127,0,0,0
C7666370.g1,10.7,15.6,414.6,48,20.3,59.9,44,30.6
C7666452.g1,236.6,205.3,42.1,292.6,135.4,102.1,167.5,139.3
C7666612.g1,72.3,144.9,313.3,1.8,86,215.9,275.7,366.2
C7666958.g1,0,7.3,15.8,0,8627.6,18.3,10.9,114.5
C7667074.g1,82,58.8,3.4,82.4,107.3,121.8,56,154.9
C7667216.g1,148,244.7,747,401.2,109.8,557.5,485,287.3
C7667374.g1,895.1,2104.1,3710,762.6,1423,1049.6,971,973.1
C7667486.g1,25.9,11.6,73.4,78.6,65.5,18.8,25.7,35.5
C7667868.g1,193.8,399.4,445.9,304.1,292.4,174.3,146.5,258.5
C7668994.g1,0,9,365.8,55.4,559.8,324.4,637.1,670.4
C7669380.g1,18.9,0,0,26.4,47.9,7.4,3.7,16
C7669500.g1,17.4,156.4,0,125.4,11,139,100.8,31.5
C7669704.g1,166.9,246.5,323.7,252.5,208.1,171.2,167.3,240.4
C7670288.g1,58.1,49.2,40.8,21.6,15.2,9.5,11.8,10.2
C7670290.g1,297,26.9,0,3.1,0,3,9,6.5
C7670294.g1,90.5,118.4,182.9,453.2,1080,405.6,341.3,427.2
C7670382.g1,488.8,551.1,1416.2,341.2,325.7,187.4,248.8,375.3
C7670828.g1,0,0,0,13.1,27.9,19.4,22.6,0
C7671110.g1,113.8,99.4,0,0,8.1,26.5,33.9,77.6
C7671630.g1,390.3,210,119.1,580,501.2,377.8,538.4,665.9
C7671722.g1,273.6,539.1,3485.4,32.5,12.5,43.6,55.1,47.1
C7671812.g1,1285.8,912.7,518.7,499.4,876.5,1015.4,917.4,1292.7
C7672358.g1,12.1,9.5,30.9,43.7,82.1,86,76.2,36.1
C7672430.g1,2873.2,6116.4,8387.1,3689.9,3505.7,2294.9,2576.9,2334.3
C7673026.g1,771.4,537.2,490.4,935,1062.3,742.1,718.1,967.9
C7673562.g1,26.5,35.4,4.8,158.5,134.1,40.1,151,81.8
C7673724.g1,255,149.1,251,394.2,281.4,213.6,236.9,293.2
C7674226.g1,337.7,543.5,205.5,3614,8894.7,1379.7,1777.8,2043
C7674722.g1,250.2,406.1,4023.4,281.7,328,504.1,481.7,340.5
C7674946.g1,53.8,125.8,136.9,56.4,0,150.8,134.4,77
C7675174.g1,248.7,377.5,373.4,849.6,308.4,896.3,842.8,370.5
C7675366.g1,0,0,106,8,8.4,7.9,7.9,0
C7676042.g1,48.5,113.5,119,249.2,8.8,73.6,16.3,8.8
C7676160.g1,34.6,17,1412,220.3,9.2,60.2,64.2,30.1
