Gene_ID,Danio_match,Danio_symbol,Exon_length
C7653330.g1,ENSDARG00000000503,stx1b,458
C7653792.g1,ENSDARG00000061600,tmem2,227
C7653898.g1,ENSDARG00000013526,SVEP1,177
C7654004.g1,ENSDARG00000042892,paip1,288
C7655006.g1,ENSDARG00000075118,SI,152
C7655900.g1,,,139
C7656148.g1,ENSDARG00000057456,ppp3ccb,422
C7656256.g1,ENSDARG00000067981,C5HXorf56,309
C7657140.g1,ENSDARG00000088995,CABZ01030692.1,244
C7658798.g1,ENSDARG00000018436,LPHN1 (3 of 4),201
C7659056.g1,ENSDARG00000078311,dcaf6,117
C7659098.g1,,,441
C7659960.g1,,,465
C7662656.g1,,,249
C7662680.g1,,,527
C7663820.g1,ENSDARG00000063079,eif2c3b,309
C7664054.g1,,,364
C7664204.g1,ENSDARG00000076430,ep300a,256
C7664486.g1,,,125
C7664618.g1,ENSDARG00000042130,zp3a.2,362
C7664652.g1,ENSDARG00000061100,nars,439
C7665112.g1,,,456
C7665242.g1,ENSDARG00000056480,cpvl,316
C7665296.g1,,,534
C7665394.g1,ENSDARG00000053207,zgc:66156,166
C7666240.g1,,,110
C7666370.g1,,,297
C7666452.g1,ENSDARG00000052866,htt,312
C7666612.g1,ENSDARG00000062711,gal3st1,538
C7666958.g1,ENSDARG00000035438,myhc4,256
C7667074.g1,ENSDARG00000075560,mll3b,300
C7667216.g1,ENSDARG00000039871,rpz4,531
C7667374.g1,ENSDARG00000091351,cnp,540
C7667486.g1,,,399
C7667868.g1,ENSDARG00000088004,ERMP1 (1 of 2),172
C7668994.g1,ENSDARG00000036237,slc27a2,309
C7669380.g1,ENSDARG00000060597,zgc:158659,252
C7669500.g1,,,546
C7669704.g1,ENSDARG00000029911,casc3,290
C7670288.g1,ENSDARG00000031095,veph,396
C7670290.g1,ENSDARG00000056374,noxo1b,310
C7670294.g1,ENSDARG00000068903,sdad1,298
C7670382.g1,ENSDARG00000055592,capn2b,315
C7670828.g1,ENSDARG00000093316,GPR116 (4 of 6),289
C7671110.g1,ENSDARG00000078898,pcdh7a,495
C7671630.g1,ENSDARG00000093281,nipbla,305
C7671722.g1,ENSDARG00000090900,apnl,322
C7671812.g1,ENSDARG00000057456,ppp3ccb,179
C7672358.g1,ENSDARG00000077382,si:rp71-68n21.12,196
C7672430.g1,ENSDARG00000091930,si:ch211-12e13.1,416
C7673026.g1,ENSDARG00000060054,EPC1 (1 of 2),356
C7673562.g1,ENSDARG00000035540,BRWD3,210
C7673724.g1,,,193
C7674226.g1,ENSDARG00000020785,lama4,275
C7674722.g1,,,368
C7674946.g1,ENSDARG00000091634,ARAP1 (3 of 4),118
C7675174.g1,ENSDARG00000030498,il6st,300
C7675366.g1,,,238
C7676042.g1,ENSDARG00000088970,si:dkey-250k10.4,229
C7676160.g1,ENSDARG00000096248,ighd,436
C7676206.g1,ENSDARG00000061600,tmem2,565
C7676888.g1,ENSDARG00000069199,zgc:172120,303
C7677234.g1,ENSDARG00000043624,PQLC2,363
C7677258.g1,,,568
C7677990.g1,ENSDARG00000005713,ethe1,189
C7678486.g1,ENSDARG00000039215,arrb2a,181
C7679528.g1,ENSDARG00000070366,BX005001.2,346
C7679692.g1,,,396
C7679808.g1,ENSDARG00000075737,zgc:165518,256
C7679952.g1,,,181
C7680222.g1,ENSDARG00000026499,ppm1e,530
C7680480.g1,ENSDARG00000012982,NF1 (1 of 2),231
C7680664.g1,ENSDARG00000070553,rnmt,239
C7680894.g1,ENSDARG00000096430,ighv9-1,408
C7681074.g1,,,482
C7681176.g1,,,412
C7681332.g1,,,240
C7681800.g1,,,581
C7682420.g1,ENSDARG00000078895,FASN (2 of 2),283
C7682588.g1,ENSDARG00000036588,zgc:64115,473
C7683062.g1,,,473
C7683532.g1,ENSDARG00000036546,pdxkb,246
C7683770.g1,,,267
C7683884.g1,ENSDARG00000042892,paip1,226
C7684348.g1,,,276
C7684470.g1,ENSDARG00000037415,dlgap1b,589
C7684518.g1,ENSDARG00000094905,si:ch211-9d9.8,517
C7684582.g1,,,385
C7684866.g1,,,159
C7684936.g1,ENSDARG00000035552,agtr2,493
C7685762.g1,,,540
C7686428.g1,ENSDARG00000061445,adcy6a,377
C7686750.g1,ENSDARG00000089863,CCDC57 (2 of 2),220
C7686754.g1,ENSDARG00000003902,ctsl.1,345
C7686770.g1,ENSDARG00000089159,si:dkeyp-89c11.2,267
C7687316.g1,ENSDARG00000075761,cfh,385
C7687464.g1,ENSDARG00000035282,emc6,599
C7687598.g1,ENSDARG00000073905,VWA5A (4 of 4),158
C7688188.g1,ENSDARG00000037905,cacna1aa,255
C7688326.g1,ENSDARG00000089369,FDXR,426
C7688508.g1,ENSDARG00000069934,PARP4,311
C7689326.g1,ENSDARG00000041503,med4,241
C7689580.g1,,,464
C7690248.g1,ENSDARG00000095930,myha,420
C7690486.g1,ENSDARG00000008370,csnk1da,229
C7690672.g1,,,476
C7691316.g1,ENSDARG00000076426,FP236168.1,385
C7691688.g1,ENSDARG00000018476,pak2b,285
C7692206.g1,ENSDARG00000043130,notch2,389
C7692496.g1,,,286
C7692622.g1,ENSDARG00000087657,fasn,528
C7692978.g1,ENSDARG00000025789,chd4b,238
C7693244.g1,ENSDARG00000012524,NBEAL1,208
C7693982.g1,ENSDARG00000027875,SLC44A4,360
